Geneid,E1,E2,E3,E4,E5,E6
SL1344_RS03040,75,142,181,6,6,5
SL1344_RS03045,18,49,69,13,13,10
SL1344_RS03050,26,26,66,7,0,2
SL1344_RS03055,18,44,61,0,0,0
SL1344_RS03060,38,75,101,1,3,3
dsbG,38,77,128,104,105,128
ahpC,84,138,208,261,385,382
ahpF,11,22,45,45,58,65
SL1344_RS03080,0,0,0,0,0,0
SL1344_RS03085,7,15,17,1,1,1
SL1344_RS03090,0,3,3,2,0,0
SL1344_RS03095,5,8,30,14,10,10
uspG,1066,2148,3654,274,369,454
SL1344_RS03105,8,12,35,3,4,11
rnk,9,9,5,14,11,9
rna,358,829,1328,66,72,83
citT,1,6,6,62,81,117
dpiB,6,10,42,5,1,2
dpiA,9,6,5,3,8,2
dcuC,2,0,3,0,0,3
pagP,7,7,8,3,1,0
cspE,1301,2419,3690,173,188,240
crcB,34,69,117,4,7,16
SL1344_RS03185,11,52,32,11,2,10
tatE,7,3,9,1,0,0
lipA,225,457,739,91,111,164
SL1344_RS03200,68,163,237,2,3,4
lipB,10,9,8,0,0,1
SL1344_RS03210,14,22,44,18,18,22
dacA,7,5,10,6,8,17
rlpA,13,30,33,15,22,12
mrdB,3,2,18,16,13,20
mrdA,3,12,31,1,8,5
rlmH,5,4,17,3,4,5
rsfS,3,20,32,13,10,17
SL1344_RS03250,27,33,59,4,5,11
SL1344_RS03255,9,17,17,2,5,20
nadD,5,8,15,1,0,4
holA,7,7,20,11,2,8
lptE,13,27,41,21,45,46
leuS,60,139,236,96,100,109
SL1344_RS03280,2,0,0,3,2,4
SL1344_RS03285,1,2,1,19,14,14
SL1344_RS03290,3,22,30,6,6,18
SL1344_RS03295,68,148,264,16,11,19
SL1344_RS03300,399,761,1179,40,49,54
SL1344_RS03305,163,348,561,3,4,0
SL1344_RS03310,0,2,3,0,0,1
SL1344_RS03315,1,3,10,0,0,2
SL1344_RS03325,1,16,6,0,1,1
SL1344_RS03330,8,12,24,3,1,3
SL1344_RS03335,28,69,109,2,1,5
rihA,17,59,101,6,10,16
gltL,359,698,1120,7,11,7
gltK,268,443,922,13,9,8
gltJ,222,552,924,33,37,30
SL1344_RS03360,6893,12542,21961,925,1155,1347
lnt,10,40,58,10,11,8
corC,128,289,451,14,22,14
ybeY,104,235,351,10,14,3
SL1344_RS03380,427,771,1313,25,27,35
miaB,49,94,203,51,41,61
ubiF,87,231,362,22,43,39
SL1344_RS03395,6,14,43,0,1,0
SL1344_RS03400,0,0,0,0,0,0
SL1344_RS03405,2,4,1,1,0,0
SL1344_RS03410,0,0,0,0,0,0
SL1344_RS03415,0,3,3,0,0,2
SL1344_RS03420,0,0,0,0,1,0
SL1344_RS03425,0,0,2,0,1,1
SL1344_RS03430,0,2,6,0,0,0
asnB,79,180,275,2809,3341,3965
nagD,2,9,13,2,2,8
nagC,53,86,149,18,23,20
nagA,149,299,517,34,24,56
nagB,407,824,1356,84,120,151
nagE,408,1006,1525,554,723,962
glnS,55,101,184,67,86,101
chiP,42,76,115,14,12,18
SL1344_RS03475,6,13,14,0,0,4
tcuC,18,46,72,3,8,3
tcuB,13,33,32,2,5,7
tcuA,3,28,27,1,1,6
tcuR,28,37,73,13,13,32
fur,147,297,478,50,43,53
fldA,14,41,57,18,28,47
ybfE,1,4,6,1,0,0
ybfF,7,9,13,2,8,9
seqA,54,95,174,21,29,28
pgm,96,201,299,286,263,340
SL1344_RS03530,1,9,16,29,45,37
potE,8,18,36,696,812,1055
speF,13,40,82,540,625,874
SL1344_RS27365,3,3,7,4,11,12
kdpE,37,72,96,23,7,11
kdpD,67,144,332,4,6,8
kdpC,3,61,51,0,0,0
kdpB,50,159,212,1,2,1
kdpA,41,127,218,2,0,4
kdpF,0,0,0,0,0,0
SL1344_RS03580,16,10,25,6,12,7
phrB,7,15,25,6,5,7
SL1344_RS03590,2,4,2,2,1,3
ybgI,29,51,109,53,53,63
pxpB,28,56,80,22,22,30
SL1344_RS03605,41,80,141,25,19,42
pxpA,11,26,37,2,4,7
SL1344_RS03615,3,5,4,0,0,0
SL1344_RS03620,6,0,8,1,5,2
SL1344_RS03625,1,0,4,0,0,2
SL1344_RS03630,0,3,4,0,0,0
SL1344_RS03640,0,0,0,0,0,0
SL1344_RS03645,0,0,2,0,0,0
SL1344_RS03650,0,2,1,0,0,0
SL1344_RS03655,0,0,0,0,0,0
SL1344_RS03660,0,0,1,1,0,0
